Samples,Amplitude(mV)
455,0.277148
456,0.280371
457,0.277148
458,0.277148
459,0.277148
460,0.273926
461,0.273926
462,0.277148
463,0.277148
464,0.273926
465,0.273926
466,0.273926
467,0.273926
468,0.270703
469,0.270703
470,0.270703
471,0.270703
472,0.26748
473,0.270703
474,0.26748
475,0.264258
476,0.264258
477,0.264258
478,0.261035
479,0.25459
480,0.25459
481,0.251367
482,0.251367
483,0.251367
484,0.248145
485,0.251367
486,0.251367
487,0.25459
488,0.251367
489,0.248145
490,0.248145
491,0.244922
492,0.244922
493,0.244922
494,0.244922
495,0.244922
496,0.248145
497,0.248145
498,0.248145
499,0.248145
500,0.248145
501,0.241699
502,0.244922
503,0.248145
504,0.248145
505,0.248145
506,0.248145
507,0.248145
508,0.248145
509,0.244922
510,0.244922
511,0.241699
512,0.238477
513,0.241699
514,0.241699
515,0.241699
516,0.241699
517,0.241699
518,0.241699
519,0.238477
520,0.235254
521,0.241699
522,0.241699
523,0.241699
524,0.241699
525,0.238477
526,0.238477
527,0.238477
528,0.238477
529,0.238477
530,0.232031
531,0.232031
532,0.235254
533,0.232031
534,0.232031
535,0.228809
536,0.225586
537,0.225586
538,0.225586
539,0.225586
540,0.225586
541,0.222363
542,0.222363
543,0.222363
544,0.215918
545,0.215918
546,0.215918
547,0.215918
548,0.212695
549,0.209473
550,0.20625
551,0.20625
552,0.203027
553,0.203027
554,0.196582
555,0.199805
556,0.199805
557,0.203027
558,0.203027
559,0.199805
560,0.196582
561,0.196582
562,0.196582
563,0.193359
564,0.193359
565,0.186914
566,0.190137
567,0.190137
568,0.190137
569,0.186914
570,0.186914
571,0.183691
572,0.183691
573,0.183691
574,0.183691
575,0.183691
576,0.180469
577,0.177246
578,0.174023
579,0.170801
580,0.174023
581,0.170801
582,0.167578
583,0.161133
584,0.161133
585,0.161133
586,0.161133
587,0.15791
588,0.15791
589,0.154687
590,0.15791
591,0.15791
592,0.161133
593,0.15791
594,0.154687
595,0.15791
596,0.15791
597,0.164355
598,0.167578
599,0.174023
600,0.177246
601,0.183691
602,0.186914
603,0.193359
604,0.203027
605,0.20625
606,0.215918
607,0.225586
608,0.225586
609,0.232031
610,0.238477
611,0.244922
612,0.251367
613,0.25459
614,0.25459
615,0.257812
616,0.261035
617,0.261035
618,0.264258
619,0.264258
620,0.264258
621,0.264258
622,0.26748
623,0.270703
624,0.273926
625,0.273926
626,0.273926
627,0.273926
628,0.273926
629,0.273926
630,0.277148
631,0.280371
632,0.277148
633,0.273926
634,0.273926
635,0.273926
636,0.277148
637,0.277148
638,0.277148
639,0.270703
640,0.277148
641,0.277148
642,0.277148
643,0.277148
644,0.273926
645,0.273926
646,0.273926
647,0.273926
648,0.273926
649,0.270703
650,0.273926
651,0.270703
652,0.270703
653,0.270703
654,0.270703
655,0.270703
656,0.26748
657,0.26748
658,0.264258
659,0.261035
660,0.261035
661,0.261035
662,0.264258
663,0.261035
664,0.257812
665,0.261035
666,0.25459
667,0.25459
668,0.25459
669,0.25459
670,0.251367
671,0.251367
672,0.251367
673,0.248145
674,0.248145
675,0.251367
676,0.248145
677,0.248145
678,0.248145
679,0.248145
680,0.244922
681,0.244922
682,0.251367
683,0.248145
684,0.244922
685,0.248145
686,0.248145
687,0.244922
688,0.244922
689,0.244922
690,0.248145
691,0.248145
692,0.244922
693,0.241699
694,0.238477
695,0.241699
696,0.244922
697,0.241699
698,0.244922
699,0.244922
700,0.244922
701,0.241699
702,0.238477
703,0.238477
704,0.235254
705,0.238477
706,0.238477
707,0.235254
708,0.235254
709,0.232031
710,0.228809
711,0.232031
712,0.228809
713,0.228809
714,0.232031
715,0.232031
716,0.232031
717,0.228809
718,0.228809
719,0.228809
720,0.225586
721,0.225586
722,0.222363
723,0.219141
724,0.222363
725,0.222363
726,0.219141
727,0.215918
728,0.212695
729,0.215918
730,0.215918
731,0.209473
732,0.212695
733,0.209473
734,0.209473
735,0.20625
736,0.20625
737,0.203027
738,0.203027
739,0.199805
740,0.199805
741,0.196582
742,0.196582
743,0.193359
744,0.196582
745,0.193359
746,0.190137
747,0.186914
748,0.183691
749,0.190137
750,0.190137
751,0.190137
752,0.186914
753,0.183691
754,0.183691
755,0.180469
756,0.183691
757,0.180469
758,0.177246
759,0.174023
760,0.174023
761,0.174023
762,0.170801
763,0.170801
764,0.170801
765,0.170801
766,0.170801
767,0.170801
768,0.167578
769,0.164355
770,0.167578
771,0.170801
772,0.164355
773,0.161133
774,0.161133
775,0.15791
776,0.154687
777,0.154687
778,0.154687
779,0.154687
780,0.154687
781,0.151465
782,0.151465
783,0.14502
784,0.14502
785,0.14502
786,0.141797
787,0.141797
788,0.14502
789,0.141797
790,0.14502
791,0.141797
792,0.148242
793,0.14502
794,0.148242
795,0.154687
796,0.161133
797,0.161133
798,0.170801
799,0.180469
800,0.190137
801,0.196582
802,0.20625
803,0.215918
804,0.222363
805,0.228809
806,0.241699
807,0.248145
808,0.248145
809,0.257812
810,0.261035
811,0.261035
812,0.261035
813,0.261035
814,0.264258
815,0.264258
816,0.264258
817,0.26748
818,0.26748
819,0.273926
820,0.273926
821,0.273926
822,0.277148
823,0.270703
824,0.273926
825,0.270703
826,0.270703
827,0.270703
828,0.273926
829,0.273926
830,0.277148
831,0.280371
832,0.280371
833,0.280371
834,0.280371
835,0.280371
836,0.277148
837,0.280371
838,0.280371
839,0.280371
840,0.280371
841,0.277148
842,0.277148
843,0.277148
844,0.280371
845,0.280371
846,0.273926
847,0.277148
848,0.277148
849,0.273926
850,0.273926
851,0.273926
852,0.270703
853,0.270703
854,0.26748
855,0.270703
856,0.26748
857,0.26748
858,0.264258
859,0.264258
860,0.264258
861,0.264258
862,0.264258
863,0.261035
864,0.257812
865,0.261035
866,0.257812
867,0.257812
868,0.25459
869,0.25459
870,0.25459
871,0.251367
872,0.248145
873,0.248145
874,0.248145
875,0.248145
876,0.248145
877,0.244922
878,0.248145
879,0.251367
880,0.251367
881,0.251367
882,0.248145
883,0.251367
884,0.251367
885,0.25459
886,0.251367
887,0.248145
888,0.251367
889,0.251367
890,0.25459
891,0.25459
892,0.25459
893,0.251367
894,0.251367
895,0.25459
896,0.251367
897,0.248145
898,0.251367
899,0.244922
900,0.248145
901,0.248145
902,0.248145
903,0.248145
904,0.248145
905,0.248145
906,0.248145
907,0.241699
908,0.241699
909,0.241699
910,0.244922
911,0.244922
912,0.244922
913,0.244922
914,0.241699
915,0.238477
916,0.238477
917,0.235254
918,0.238477
919,0.235254
920,0.235254
921,0.235254
922,0.228809
923,0.228809
924,0.228809
925,0.228809
926,0.228809
927,0.228809
928,0.228809
929,0.225586
930,0.228809
931,0.222363
932,0.222363
933,0.222363
934,0.212695
935,0.215918
936,0.212695
937,0.212695
938,0.209473
939,0.209473
940,0.209473
941,0.20625
942,0.20625
